host,cve_id,cvss,epss,percentile,ransomware,cisa_kev
103.166.156.31,CVE-2023-38408,9.8,0.04189,0.9125,0,0
103.166.156.31,CVE-2021-41617,7,0.00055,0.21154,0,0
103.166.156.31,CVE-2021-36368,3.7,0.00199,0.57661,0,0
103.166.156.31,CVE-2020-15778,7.8,0.00289,0.65524,0,0
103.166.156.31,CVE-2020-14145,5.9,0.00209,0.58646,0,0
103.166.156.31,CVE-2019-6111,5.9,0.00201,0.57883,0,0
103.166.156.31,CVE-2019-6110,6.8,0.00337,0.68094,0,0
103.166.156.31,CVE-2019-6109,6.8,0.00174,0.54473,0,0
103.166.156.31,CVE-2018-20685,5.3,0.00712,0.78235,0,0
103.166.156.31,CVE-2018-15919,5.3,0.00273,0.64478,0,0
103.166.156.31,CVE-2018-15473,5.3,0.03247,0.90183,0,0
103.166.156.31,CVE-2017-15906,5.3,0.00831,0.80011,0,0
103.166.156.31,CVE-2016-20012,5.3,0.00369,0.69482,0,0
118.97.209.229,CVE-2023-38408,9.8,0.04189,0.9125,0,0
118.97.209.229,CVE-2021-41617,7,0.00055,0.21154,0,0
118.97.209.229,CVE-2021-36368,3.7,0.00199,0.57661,0,0
118.97.209.229,CVE-2020-15778,7.8,0.00289,0.65524,0,0
118.97.209.229,CVE-2020-14145,5.9,0.00209,0.58646,0,0
118.97.209.229,CVE-2019-6111,5.9,0.00201,0.57883,0,0
118.97.209.229,CVE-2019-6110,6.8,0.00337,0.68094,0,0
118.97.209.229,CVE-2019-6109,6.8,0.00174,0.54473,0,0
118.97.209.229,CVE-2018-20685,5.3,0.00712,0.78235,0,0
118.97.209.229,CVE-2018-15919,5.3,0.00273,0.64478,0,0
118.97.209.229,CVE-2018-15473,5.3,0.03247,0.90183,0,0
118.97.209.229,CVE-2017-15906,5.3,0.00831,0.80011,0,0
118.97.209.229,CVE-2016-20012,5.3,0.00369,0.69482,0,0
103.150.191.63,CVE-2023-27522,7.5,0.0055,0.74841,0,0
103.150.191.63,CVE-2023-25690,9.8,0.03257,0.90192,0,0
103.150.191.63,CVE-2022-37436,5.3,0.00044,0.11059,0,0
103.150.191.63,CVE-2022-36760,9,0.01302,0.84345,0,0
103.150.191.63,CVE-2022-31813,9.8,0.01096,0.82738,0,0
103.150.191.63,CVE-2022-30556,7.5,0.00311,0.66739,0,0
103.150.191.63,CVE-2022-29404,7.5,0.08634,0.93838,0,0
103.150.191.63,CVE-2022-28615,9.1,0.02108,0.87915,0,0
103.150.191.63,CVE-2022-28614,5.3,0.00239,0.61752,0,0
103.150.191.63,CVE-2022-28330,5.3,0.00223,0.6043,0,0
103.150.191.63,CVE-2022-26377,7.5,0.01225,0.83775,0,0
103.150.191.63,CVE-2022-23943,9.8,0.18592,0.95697,0,0
103.150.191.63,CVE-2022-22721,9.1,0.00356,0.68904,0,0
103.150.191.63,CVE-2022-22720,9.8,0.01143,0.83101,0,0
103.150.191.63,CVE-2022-22719,7.5,0.42278,0.96957,0,0
103.150.191.63,CVE-2021-44790,9.8,0.06047,0.92704,0,0
103.150.191.63,CVE-2021-44224,8.2,0.32277,0.96559,0,0
103.150.191.63,CVE-2021-40438,9,0.972,0.99778,0,1
103.150.191.63,CVE-2021-39275,9.8,0.00691,0.7783,0,0
103.150.191.63,CVE-2021-36160,7.5,0.00171,0.5407,0,0
103.150.191.63,CVE-2021-34798,7.5,0.00495,0.73493,0,0
103.150.191.63,CVE-2021-33193,7.5,0.00099,0.40704,0,0
103.150.191.63,CVE-2021-26691,9.8,0.76542,0.97877,0,0
103.150.191.63,CVE-2021-26690,7.5,0.11639,0.94711,0,0
103.150.191.63,CVE-2020-9490,7.5,0.00721,0.78389,0,0
103.150.191.63,CVE-2020-35452,7.3,0.00196,0.57281,0,0
103.150.191.63,CVE-2020-1934,5.3,0.00157,0.51956,0,0
103.150.191.63,CVE-2020-1927,6.1,0.00225,0.60598,0,0
103.150.191.63,CVE-2020-13950,7.5,0.00499,0.73565,0,0
103.150.191.63,CVE-2020-13938,5.5,0.00042,0.05719,0,0
103.150.191.63,CVE-2020-11993,7.5,0.00482,0.73156,0,0
103.150.191.63,CVE-2020-11984,9.8,0.01526,0.85573,0,0
103.150.191.63,CVE-2019-17567,5.3,0.00183,0.55419,0,0
103.150.191.63,CVE-2006-20001,7.5,0.00044,0.10749,0,0
49.0.91.7,CVE-2022-41318,8.6,0.00084,0.3536,0,0
49.0.91.7,CVE-2021-46784,6.5,0.01545,0.85667,0,0
49.0.91.7,CVE-2021-33620,6.5,0.17914,0.95631,0,0
49.0.91.7,CVE-2021-31808,6.5,0.00838,0.80092,0,0
49.0.91.7,CVE-2021-31807,6.5,0.03216,0.90141,0,0
49.0.91.7,CVE-2021-31806,6.5,0.9373,0.98889,0,0
49.0.91.7,CVE-2021-28652,4.9,0.00376,0.69719,0,0
49.0.91.7,CVE-2021-28651,7.5,0.0064,0.76836,0,0
49.0.91.7,CVE-2021-28116,5.3,0.02585,0.8912,0,0
49.0.91.7,CVE-2020-8517,7.5,0.00388,0.70199,0,0
49.0.91.7,CVE-2020-8450,7.3,0.9296,0.98789,0,0
49.0.91.7,CVE-2020-8449,7.5,0.00144,0.50032,0,0
49.0.91.7,CVE-2020-25097,8.6,0.00257,0.63297,0,0
49.0.91.7,CVE-2020-24606,7.5,0.01189,0.83498,0,0
49.0.91.7,CVE-2020-15811,6.5,0.0015,0.51073,0,0
49.0.91.7,CVE-2020-15810,6.5,0.00191,0.56589,0,0
49.0.91.7,CVE-2020-15049,8.8,0.00803,0.79673,0,0
49.0.91.7,CVE-2020-14058,7.5,0.0048,0.73091,0,0
49.0.91.7,CVE-2020-11945,9.8,0.12659,0.94893,0,0
49.0.91.7,CVE-2019-18860,6.1,0.00241,0.61869,0,0
49.0.91.7,CVE-2019-18679,7.5,0.18879,0.95721,0,0
49.0.91.7,CVE-2019-18678,5.3,0.01064,0.82472,0,0
49.0.91.7,CVE-2019-18677,6.1,0.00405,0.70791,0,0
49.0.91.7,CVE-2019-18676,7.5,0.02481,0.88911,0,0
49.0.91.7,CVE-2019-13345,6.1,0.94898,0.99081,0,0
49.0.91.7,CVE-2019-12529,5.9,0.00735,0.78608,0,0
49.0.91.7,CVE-2019-12528,7.5,0.00852,0.80264,0,0
49.0.91.7,CVE-2019-12526,9.8,0.03704,0.90739,0,0
49.0.91.7,CVE-2019-12525,9.8,0.16211,0.95445,0,0
49.0.91.7,CVE-2019-12524,9.8,0.00958,0.81478,0,0
49.0.91.7,CVE-2019-12523,9.1,0.01071,0.8253,0,0
49.0.91.7,CVE-2019-12522,4.5,0.00044,0.10742,0,0
49.0.91.7,CVE-2019-12521,5.9,0.01564,0.85772,0,0
49.0.91.7,CVE-2019-12520,7.5,0.0098,0.81686,0,0
49.0.91.7,CVE-2019-12519,9.8,0.00819,0.79853,0,0
49.0.91.7,CVE-2018-19132,5.9,0.0297,0.89796,0,0
49.0.91.7,CVE-2018-19131,6.1,0.00148,0.50592,0,0
49.0.91.7,CVE-2018-1172,5.9,0.00667,0.77393,0,0
49.0.91.7,CVE-2018-1000027,7.5,0.01565,0.85774,0,0
49.0.91.7,CVE-2018-1000024,7.5,0.00575,0.75426,0,0
139.144.124.158,CVE-2022-41318,8.6,0.00084,0.3536,0,0
139.144.124.158,CVE-2021-46784,6.5,0.01545,0.85667,0,0
139.144.124.158,CVE-2021-33620,6.5,0.17914,0.95631,0,0
139.144.124.158,CVE-2021-31808,6.5,0.00838,0.80092,0,0
139.144.124.158,CVE-2021-31807,6.5,0.03216,0.90141,0,0
139.144.124.158,CVE-2021-31806,6.5,0.9373,0.98889,0,0
139.144.124.158,CVE-2021-28662,6.5,0.14474,0.9518,0,0
139.144.124.158,CVE-2021-28652,4.9,0.00376,0.69719,0,0
139.144.124.158,CVE-2021-28651,7.5,0.0064,0.76836,0,0
139.144.124.158,CVE-2021-28116,5.3,0.02585,0.8912,0,0
139.144.124.158,CVE-2020-8517,7.5,0.00388,0.70199,0,0
139.144.124.158,CVE-2020-8450,7.3,0.9296,0.98789,0,0
139.144.124.158,CVE-2020-8449,7.5,0.00144,0.50032,0,0
